_i,kwp_in,efficiency,voltage,current,rpm,tnm,ih,mo
1,0,0,450,0,0,785,0,0
5,6.263926630434783,39.34927848695434,450,13.91983695652174,29.98369565217392,785,1.029031081542913,8.26993343132688
6,6.740828804347826,43.8559263417106,450,14.97961956521739,35.96195652173914,785,0.7968574021471767,6.891611192772401
7,7.217730978260868,47.76703242150543,450,16.03940217391304,41.94021739130435,785,0.6378909318331911,5.90709530809063
8,7.694633152173915,51.19332916602174,450,17.0991847826087,47.91847826086957,785,0.5235609570126711,5.168708394579301
9,8.171535326086957,54.21969901779992,450,18.15896739130435,53.89673913043479,785,0.4382268541550129,4.594407461848268
10,8.6484375,56.912301674896305,450,19.21875,59.87500000000001,785,0.3726554765078525,4.134966715663441
11,9.125339673913043,59.323466466326316,450,20.27853260869565,65.85326086956522,785,0.3210727403809091,3.759060650603129
12,9.602241847826086,61.49512682766205,450,21.3383152173913,71.83152173913044,785,0.279699231412691,3.4458055963862
13,10.079144021739133,63.46127974807063,450,22.39809782608696,77.80978260869566,785,0.2459677429459682,3.180743627433416
14,10.556046195652174,65.24977853839889,450,23.45788043478261,83.78804347826087,785,0.2180800014564384,2.953547654045315
15,11.032948369565219,66.88366064194894,450,24.51766304347826,89.7663043478261,785,0.1947432055122776,2.75664447710896
16,11.50985054347826,68.38214534408931,450,25.57744565217391,95.74456521739131,785,0.1750070290572236,2.584354197289651
17,11.986752717391303,69.76139331400118,450,26.63722826086956,101.7228260869565,785,0.1581592845523673,2.432333362154965
18,12.463654891304348,71.03509177039514,450,27.69701086956522,107.7010869565217,785,0.1436571475541268,2.297203730924134
19,12.940557065217392,72.21491025551703,450,28.75679347826087,113.679347826087,785,0.1310806499111884,2.176298271401811
20,13.414334170854271,73.33143594057583,450,29.80963149078727,119.6633165829146,785,0.1201284967469107,2.06748335783172
21,13.862826633165831,74.53481697734055,450,30.80628140703518,125.6934673366834,785,0.110706742602048,1.969031769363543
22,14.311319095477385,75.66277417362254,450,31.80293132328308,131.7236180904522,785,0.1023629546816473,1.879530325301564
23,14.759811557788943,76.72218302857084,450,32.79958123953099,137.7537688442211,785,0.09493722001367026,1.797811615505844
24,15.208304020100504,77.71910800822013,450,33.7962311557789,143.78391959799,785,0.08829846053596926,1.7229027981931
25,15.65679648241206,78.65891870662226,450,34.7928810720268,149.8140703517588,785,0.08233836599284627,1.653986686265376
26,16.105288944723622,79.54638659817633,450,35.78953098827471,155.8442211055277,785,0.0769667751495615,1.590371813716708
27,16.553781407035178,80.38576606206315,450,36.78618090452262,161.8743718592965,785,0.07210812102918802,1.531469153949423
28,17.002273869346734,81.18086258291952,450,37.78283082077052,167.9045226130653,785,0.06769866746683889,1.476773827022658
29,17.450766331658293,81.93509043478603,450,38.77948073701843,173.9346733668342,785,0.06368434083517387,1.425850591608083
30,17.899258793969853,82.65152169291403,450,39.77613065326634,179.964824120603,785,0.06001901409639471,1.37832223855448
31,18.34775125628141,83.33292805730476,450,40.77278056951424,185.9949748743718,785,0.05666313795069108,1.333860230859174
32,18.79111809045226,84.00472429638009,450,41.75804020100503,192.0251256281407,785,0.05359725639556982,1.292177098644825
33,19.209459798994974,84.75582189200787,450,42.68768844221105,198.0552763819096,785,0.05084123216144409,1.253020216867709
34,19.627801507537693,85.4749021013464,450,43.61733668341709,204.0854271356784,785,0.04829415645865127,1.216166681077482
35,20.046143216080402,86.16396943088951,450,44.54698492462312,210.1155778894473,785,0.04593527133689065,1.181419061618126
36,20.464484924623118,86.82486448001562,450,45.47663316582915,216.1457286432161,785,0.04374635170097732,1.148601865462067
37,20.88282663316583,87.45928035858924,450,46.40628140703518,222.1758793969849,785,0.04171134096730007,1.11755857180093
38,21.30116834170854,88.06877716997268,450,47.3359296482412,228.2060301507538,785,0.03981604677993596,1.088149135700905
39,21.71951005025126,88.6547948202851,450,48.26557788944724,234.2361809045226,785,0.03804788567388892,1.060247875811139
40,22.16586934673367,89.09806500970662,450,49.25748743718593,240.2452261306533,785,0.0363496638367333,1.03374167891586
41,22.717628140703518,89.0797548710474,450,50.48361809045226,246.1748743718593,785,0.03460177008313371,1.008528467234986
42,23.269386934673367,89.06231306467835,450,51.70974874371859,252.1045226130653,785,0.03297698353900031,0.9845158846817716
43,23.821145728643216,89.04567925219477,450,52.93587939698492,258.0341708542713,785,0.03146400900143132,0.9616201664333583
44,24.372904522613062,89.02979855900458,450,54.16201005025125,263.9638190954774,785,0.03005281760008894,0.9397651626507821
45,24.924663316582915,89.01462096956425,450,55.38814070351759,269.8934673366834,785,0.02873448017398203,0.9188814923696534
46,25.47642211055276,89.00010080120204,450,56.61427135678392,275.8231155778894,785,0.02750102567663335,0.898905807752922
47,26.02818090452261,88.98619624486538,450,57.84040201005025,281.7527638190955,785,0.02634532040346984,0.8797801522688171
48,26.579939698492467,88.97286896306895,450,59.06653266331659,287.6824120603015,785,0.02526096461411518,0.8614513990965501
49,24.136381698137825,88.96008373690043,450,60.29266331658292,293.6120603015075,785,0.02424220374409884,0.8438707582986614
50,27.683457286432162,88.94780815523896,450,61.51879396984925,299.5417085427135,785,0.02328385189945504,0.8269933431326881